Stock,Comment,Commented By,Timestamp
Aarti Industries,now  china  dump  all  chemical  products  at  throw  away  prices  how  can  Indian  companies  survive,RamKhilawan,2025-03-20 13:06:00
Aarti Industries,its  in  proper  buy  range  now,rushikeshs187,2025-03-20 13:06:00
Aarti Industries,dont  ever  average  the  trade  especially  stock  options.  it  is  a  black  hole.  its  my  personal  experience,ramg75,2025-03-19 20:49:00
Aarti Industries,"The  Fixed  Income:  Changing  the  Way  India  Invests

Built  with  love  in  India,  we  empower  over  1,50,000  investors  to  grow  with  stability.  Whether  it’s  corporate  bonds,  government  bonds,  fixed  deposits,  or  more,  our  platform  helps  you  build  a  solid  financial  foundation  with  predictable,  stable  returns.

Explore  Now:https://www.thefixedincome.com/?utm_source=moneycontrol&utm_medium=mc-forum&utm_campaign=home-page",The Fixed Income,2025-03-19 10:01:00
Aarti Industries,once  this  cross  430  then  extra  100  rs  run  sharply  target  550  soon,stockfact,2025-03-19 09:35:00
Aarti Industries,Any  body  can  help  me  out  in  aarti  am  trap  in  put  of  630.  7  lot  buy  my  average  is  10.37  close  is  7.10  huge  loss  can  I  avrragevit  more  2moro  and  hold  .  what  to  do  .hold  or  exit,Rajcooltrader,2025-03-19 02:29:00
Aarti Industries,Aurum  proptech  is  highly  investing  into  its  AI  based  engienes...  never  know  when  the  stock  starts  its  move  towards  200,dreamnifty_29,2025-03-14 19:35:00
Aarti Industries,"opportunity  to  add  on  dips,  long  awaiting  momentum  expected  next  month",Nepha9,2025-03-13 11:03:00
Aarti Industries,"tu  ek  6  months  se  double  bol  raha  hai  jabki  stock    aadha  ho  gaya  .  I  doubt  you  are  human  ,  looks  like  BOT",MD_phoenix,2025-03-12 23:09:00
Aarti Industries,AARTI  IND  GOING  BELOW  642    IS  A  ISSUE    IF  SO  AND  SUSTAIN  THEN  GOING  TO  582-584  LEVELS  ON  THE  CARDS.,LATEST GOODNEWS,2025-03-12 15:21:00
Aarti Industries,target  in  April  is  450  plus  March  main  confusion  hai,stockfact,2025-03-12 15:11:00
Aarti Industries,yeh  phatne  wala  hai  oversold  stock  hai  in  April  huge  upside,stockfact,2025-03-11 13:58:00
Aarti Industries,"Sell  IT,  Pharma,  Auto,  Real  estate  and  buy  chemical  and  banking  stocks  ,  which  are  undervalued  and  will  be  part  of  coming  sector  rotation",Market@9,2025-03-10 08:50:00
Aarti Industries,India  has  great  opportunity  to  rise  global  market  share  in  chemical  sector  and  companies  have  invested  much  to  increase  their  capacity  and  this  all  will  reflect  very  very  shortly,Market@9,2025-03-10 08:48:00
Aarti Industries,"coming  week  it  will  go  above  rs  430.
monday  it  will  trade  between  rs  400  and    rs  415.
weekly  trade  expected  between  rs  390  and  rs  430.
it  will  go  with  the  market.    market  will  flat  and  maximum  variation  may  be  200  points  in  sensex  on  monday.",mano1956iba,2025-03-08 15:50:00
Aarti Industries,aarti  is  going  to  fall  .,GEC,2025-03-07 12:42:00
Aarti Industries,dont  go  with  prabhudas  liladhar  target  their  target  never  achieved  always  ulta  hota  hai,stockfact,2025-03-07 10:48:00
Aarti Industries,"Company  entering  into  Agreement  with  Clean  Max  Enviro  Energy  Solutions  Private  Limited  and  Clean  MaxIndus  Private  Limited,  a  SPV  formed  to  set  up  a  16.50  MW  Wind  -  Solar  hybrid  power  project  to  cater  the  Companys  power  requirement,  this  is  to  further  inform  that  Company  has  entered  into  Shareholders  Agreement  dated  March  5,  2025  for  infusing  capital  of  Rs.  16,70,80,000  in  Clean  Max  Indus  Private  Limited",kamal20,2025-03-06 11:17:00
Aarti Industries,"Buy   price  to  accumulate  the  stock  ,  short  term  target  720",JPRao,2025-03-06 10:35:00
Aarti Industries,i  believe  aarti  is  good  company  and  mine  target  700  in  2025  who  believe  give  five  star,stockfact,2025-03-05 15:30:00
Aarti Industries,Please  may  I  know  why  intraday  is  not  allowed  today?,True Indian from Mumbai,2025-03-02 10:27:00
Aarti Industries,"Short  term  Buy  Arti  Ind  at  673  SL  and  target  would  be  718.50,  There  is  huge  Volume  seen  in  last  fews  days,  In  2024  Chemical  sector  will  be  booming,  Top  pick  in  chemical  basket.",MeasurePK,2025-03-02 07:50:00
Aarti Industries,exit  now  and  wait  for  correction  around  645  to   my  personal  view,omu,2025-03-01 13:08:00
Aarti Industries,Aarti  Industry  is  unable  to  cross  2000  level..,Sunny310,2025-03-01 09:20:00
Aarti Industries,"Aarti  Circularity  Limited,  a  wholly  owned  subsidiary  of  the  Company,  has  acquired  49prcnt  equity  shares  of  Re  Aarti  Private  Limited  JV  Co",kamal20,2025-02-28 18:12:00
Aarti Industries,on  Zee  business  before  two  month  target  of  800  given  by  anil  singhvi  based  on  company  plan  as  market  is  down  so  this  stock  suffer  I  think  when  market  in  good  mood  target  550  possible,stockfact,2025-02-28 14:55:00
Aarti Industries,Stock  has  moved  down  even  further  and  makes  an  attractive  and  compelling  BUY,Mrch,2025-02-28 11:57:00
Aarti Industries,lagta  hai  capex  ki  naam  pe  promoter  diverting  funds  to  himself  .  6000  cr  ka  capex  ka  paisa  fd  main  daal  deta  3  years  main  1500  crs  ka  profit  ho  jata  .  definitely  diverting  funds,MD_phoenix,2025-02-28 10:41:00
Aarti Industries,"fair  value  kya  hai  woh  to  market  decide  karta  hai   as  on  date  screens  says  trading  at  6  years  low.    companies  invest  when  outlook  is  bright  on  margin  4  saal  se  margins  going  down  and  it  keeps  on  investing  on  product  capacity  like  mma  which  have  zero  margins  and  poor  demand  .still  the  genuis  of  promoter  that  it  sold  at  900  and  700  creating  short  term  bump,  pump  and  dump  .  now  its  share  at  6  year  low",MD_phoenix,2025-02-28 10:25:00
Aarti Industries,it  will  go  to  610  and  bounce  back..,shardst,2025-02-27 19:45:00
Aarti Industries,company  still  in  profit  people  behave  like  company  in  loss  fair  value  500,stockfact,2025-02-27 13:27:00
Aarti Industries,now  the  doing  capex  every  year  while  their  is  no  margin  in  business  to  service  that  capex   to  ensure  profits  keep  going  down  and  they  can  buy  back  shares  at  dirt  cheap  again  .  have  not  seen  more  chor  promoter  than  this  company  .  which  playing  with  minority  shareholders  from  last  6  years  and  more,MD_phoenix,2025-02-27 12:23:00
Aarti Industries,This  company  has  given  zero  returns  in  last  6  years  to  its  investors  .  still  promoter  is  able  to  sell  at  900  and  700  rs  by  manipulating  the  share  by  false  guidances  and  one  off  contracts  and  make  huge  profit  on  expense  of  retail  investors  .  what  a  piece  of  sh-it  .,MD_phoenix,2025-02-27 12:21:00
Aarti Industries,buy  aarti  ind  cmp  tgt  540  610  only  chemical  stock  will  rallyyyy  especially  aarti  indistries  and  tata  chemicals    buy  buy,bulltrendyrocky,2025-02-27 10:06:00
Aarti Industries,"What  is  happening  with  this  stock,  Again  down  today?",True Indian from Mumbai,2025-02-27 03:50:00
Aarti Industries,Short  covering  Started  .Next  Target  Rs  750/-  Plus.,GEC,2025-02-26 09:37:00
Aarti Industries,"29  February  monthly  expires,  no  hope  till  than,next  month  chances  of  upside  if  March  Series  open  Gap  up  on  Friday  01  March.",GEC,2025-02-25 19:56:00
Aarti Industries,2  months  se  fasa  hua  hu  iss  share  me  hope  it  will  be  fruitful  in  future,garry40,2025-02-25 00:06:00
Aarti Industries,abki  bar  500  par  abki  bar  500  par  utho  aur  bhago  aarti  veer  bahut  aram  kar  liya  udo,stockfact,2025-02-24 14:21:00
Aarti Industries,why  its  going  down  from  last  3   to  be  operator  game,True Indian from Mumbai,2025-02-23 16:56:00
Aarti Industries,Very  likely  that  Aarti  Industries  will  reverse  and  go  up  and  end  the  day  at  52  week  highs.    Buy  more.    Huge  gains  coming.    As  said  earlier  735  750  is  a  given  and  even  800  is  possible  in  next  3  or  4  trading  sessions.,mehlam,2025-02-22 10:38:00
Aarti Industries,Speciality  chemicals  are  coming  to  boom  your  portfolios.....Stay  invested  guys  and  keep  buying  on  your  own  risk,honey716,2025-02-21 09:41:00
Aarti Industries,powergrid  bags  20-gw  transmission  system  project  in  rajasthan,dreamnifty_24,2025-02-20 17:42:00
Aarti Industries,this  year  belongs  to  chemical  buy  target  530  in  two  month,stockfact,2025-02-18 13:21:00
Aarti Industries,the  worst  fraud  scam  stock,YMnew,2025-02-18 13:07:00
Aarti Industries,Market  Fall  gave  opportunuity  to  buy  and  accumulate  aarti  ind.  Tommrrow  itself  it  will  go  up  by  at  least  20  rupee,Market@9,2025-02-16 22:22:00
Aarti Industries,the  share  is  ready  to  beach  the  400  but  keep  strict  stop  lose  of  390  which  is  also  52  weeks  low.    After  poor  net  profits  and  profits  booking  we  will  see  soon  below  400  and  if  breach  the  SL  of  390  than  can  start  to  add  in  the  10  parts  on  every  dip  of  rs  10  so  can  add  upto  Rs300  and  risk  reward  come  in  the  favour  of  my  smart  investors.  can  follow  for  more  call.s,therealthirdeye2015,2025-02-16 18:11:00
Aarti Industries,"Company  may  show  a  revenue  and  pat  cagr  of  over  25  per  cent  over  next  three  years,  share  price  may  do  well",Mrch,2025-02-16 12:13:00
Aarti Industries,Book  profit  and  reenter  at  680,JPRao,2025-02-16 10:57:00
Aarti Industries,keep  buying.  to  cross  750.  naysayers  will  try  to  shoo  people  away  from  this  stock  but  they  have  0  knowledge  of  stocks  and  dont  want  you  to  have  profits,BigBull9748,2025-02-15 12:51:00
Aarti Industries,Book  profits  and  exit   personal  view,omu,2025-02-15 12:32:00
Aarti Industries,jab  ye  750  touch  kareha  tab  knowledge  pata  lag  jayegi,big_boss_1,2025-02-14 14:24:00
Aarti Industries,other  check  Paragon  Fine  Speciality,dhonu1,2025-02-14 11:02:00
