Stock,Comment,Commented By,Timestamp
Deepak Nitrite,"deepak  nitrite  stock  has  broken  out  from  a  solid  base  that  was  established  between  rs  2,380-1,800  levels  over  the  past  year.  the  breakout,  accompanied  by  substantial  trading  volumes.  additionally,  the  macd  (moving  average  convergence  divergence)  indicator  has  experienced  a  positive  crossover  above  the  zero-line,  signaling  the  presence  of  positive  momentum  in  the  trend.  going  ahead  we  expect  the  prices  to  move  higher  till  the  mark  of  rs  2m720  where  the  stop-loss  must  be  rs  2,390  on  a  daily  closing  basis.",Deepak Nitrite,01-01-2025 09:50
Deepak Nitrite,people  wont  imagine  from  current  level  deepak  can  easily  reach  6300  level  in  2  year  time  frame.  do  not  sell  in  20-30  percent  return,Deepak Nitrite,01-01-2025 12:53
Deepak Nitrite,"Deepak  Nitrite  unit  Deepak  Chem  Tech  signs  MoU  worth  Rs  9,000  crore  with  Gujarat  Government.",Deepak Nitrite,01-02-2025 03:36
Deepak Nitrite,"the  companys  unit,  Deepak  Chem  Tech,  signed  a  Memorandum  of  Understanding  worth  Rs  9,000  crore  with  the  Gujarat  government.",Deepak Nitrite,01-02-2025 10:23
Deepak Nitrite,"Meghma  you  must  have  made  250  percent  profits  as  price  was  under  600  back  then  .  That  is  so  interesting  .  My  case  ,  have  been  holding  this  since  April  2021  ,  the  stock  keep  hovering  in  the  same  range  since  2  years  .",Deepak Nitrite,01-09-2024 05:17
Deepak Nitrite,RK0079..  Yes  it  is  in  consolidation  mode  since  2021  and  so  is  the  index..  2024  onwards  things  would  change  and  breakout  in  this  counter  would  surely  happen  with  the  launch  of  their  new  products,Deepak Nitrite,01-09-2024 06:08
Deepak Nitrite,"watch  out  deepak  nitrite,  price  n  volume  action  is  there  in  subdued  market  today.",Deepak Nitrite,01-10-2024 10:24
Deepak Nitrite,"mnm,  tvs  motor,  bajaj  auto  and  maruti  are  my  top  favourite  in  auto  sector  if  that  helps  to  invest  in  auto  sector.  i  am  available  if  you  have  any  questions.",Deepak Nitrite,01-10-2024 13:43
Deepak Nitrite,Sell  Sell  Target  1750  intact  ????,Deepak Nitrite,01-11-2024 14:28
Deepak Nitrite,"Deepak  Nitrite  is  on  the  verge  of  collapse,  its  going  to  fall  very  sharply  in  coming  days..",Deepak Nitrite,01-11-2024 17:39
